ProjectID,ProjectName,ProjectType,Status,BusinessUnit,ActualHours,PlannedHours,PctComplete
9,Automated bottom-line generative AI,Time & Materials,Complete,Government,6421.08,5454.38,117.7
49,Automated interactive alliance,Fixed-Price,Complete,Healthcare,5975.64,5181.53,115.3
44,Open-architected responsive array,Fixed-Price,Complete,Energy,6740.82,5870.71,114.8
30,Digitized zero tolerance parallelism,Time & Materials,Complete,Retail,6398.7,5578.51,114.7
104,Stand-alone zero trust hardware,Fixed-Price,Complete,Government,5382.84,4695.34,114.6
77,Networked client-driven protocol,Fixed-Price,Complete,Retail,5640.9,4994.38,112.9
10,Configurable regional monitoring,Time & Materials,Complete,Government,5867.82,5199.85,112.8
116,Cross-platform mobile framework,Time & Materials,Complete,Energy,6331.08,5616.02,112.7
47,Centralized asynchronous interface,Fixed-Price,Complete,Healthcare,6088.74,5424.28,112.2
2,Balanced systemic firmware,Fixed-Price,Complete,Healthcare,6440.7,5745.04,112.1
83,Secured AI-powered neural-net,Fixed-Price,Complete,Retail,6451.5,5790.94,111.4
39,Smart asynchronous protocol,Fixed-Price,Complete,Energy,5817.78,5250.01,110.8
35,Streamlined composite capacity,Fixed-Price,Complete,Healthcare,5831.82,5329.1,109.4
52,Customizable content-based local area network,Time & Materials,Complete,Media & Entertainment,6067.5,5590.2,108.5
65,Robust tertiary collaboration,Time & Materials,Complete,Retail,6155.22,5696.1,108.1
98,Seamless immersive benchmark,Time & Materials,Complete,Government,6183.78,5795.4,106.7
54,Virtual contextually-based approach,Time & Materials,Complete,Energy,5252.52,4932.26,106.5
4,Virtual regional website,Time & Materials,Complete,Government,5966.82,5607.15,106.4
14,Grass-roots coherent neural-net,Fixed-Price,Complete,Retail,5731.02,5422.81,105.7
17,Persistent leading edge software,Fixed-Price,Complete,Healthcare,5616.6,5339.62,105.2
62,Universal exuding open architecture,Time & Materials,Complete,Government,5628.12,5371.64,104.8
38,Reactive transitional service-desk,Fixed-Price,Complete,Healthcare,5517.06,5275.73,104.6
58,Fundamental optimal instruction set,Fixed-Price,Complete,Retail,5080.74,4918.85,103.3
118,Automated directional hardware,Time & Materials,Complete,Healthcare,5812.38,5645.81,103.0
21,Public-key neutral intranet,Time & Materials,Complete,Government,5604.9,5496.49,102.0
72,Focused value-added focus group,Time & Materials,Complete,Retail,5875.68,5765.65,101.9
90,Realigned leading edge firmware,Fixed-Price,Complete,Healthcare,5786.22,5740.54,100.8
45,Self-enabling national contingency,Fixed-Price,Complete,Retail,5293.26,5312.31,99.6
117,Public-key actuating implementation,Fixed-Price,Complete,Retail,5083.32,5113.92,99.4
102,Virtual intangible matrices,Fixed-Price,Complete,Retail,5041.92,5112.03,98.6
64,Triple-buffered national focus group,Time & Materials,Complete,Government,5021.52,5117.23,98.1
69,Managed responsive migration,Fixed-Price,Complete,Energy,4935.84,5078.59,97.2
70,Robust zero defect installation,Fixed-Price,Complete,Media & Entertainment,5066.04,5304.61,95.5
100,Open-source asynchronous monitoring,Fixed-Price,Complete,Retail,5112.42,5372.64,95.2
6,Digitized optimizing benchmark,Fixed-Price,Complete,Retail,5106.48,5389.75,94.7
66,Fully-configurable homogeneous portal,Time & Materials,Complete,Media & Entertainment,4935.06,5252.16,94.0
31,Grass-roots fault-tolerant complexity,Fixed-Price,Complete,Retail,5376.3,5769.88,93.2
56,Self-enabling composite knowledge base,Time & Materials,Complete,Government,4856.04,5225.27,92.9
60,Intuitive data-driven collaboration,Fixed-Price,Complete,Government,5457.3,5892.78,92.6
63,Innovative high-level parallelism,Fixed-Price,Complete,Government,4909.2,5320.64,92.3
59,Customer-focused optimal system engine,Time & Materials,Complete,Healthcare,4242.3,4672.99,90.8
78,Open-source mobile microservice,Fixed-Price,Complete,Media & Entertainment,5494.62,6077.35,90.4
23,Adaptive cloud-native installation,Fixed-Price,Complete,Government,5192.88,5777.42,89.9
107,Fundamental systematic parallelism,Time & Materials,Complete,Healthcare,5066.46,5758.03,88.0
3,Monitored 24/7 system engine,Fixed-Price,Complete,Healthcare,4624.14,5317.37,87.0
111,Stand-alone responsive portal,Time & Materials,Complete,Retail,5035.92,5789.88,87.0
110,Realigned neutral service-desk,Time & Materials,Complete,Energy,4633.98,5516.8,84.0
20,Face to face executive artificial intelligence,Time & Materials,Complete,Media & Entertainment,5003.34,5985.97,83.6
106,Implemented coherent middleware,Time & Materials,Complete,Healthcare,4188.6,5040.56,83.1
115,Adaptive coherent customer loyalty,Time & Materials,Complete,Retail,3913.5,4776.78,81.9
11,Future-proofed zero trust hub,Fixed-Price,Complete,Government,4467.3,5461.3,81.8
28,Automated data-driven firmware,Time & Materials,Complete,Retail,4531.02,5543.65,81.7
61,Upgradable mobile instruction set,Fixed-Price,Complete,Energy,4541.16,5719.15,79.4
27,Devolved discrete circuit,Time & Materials,Complete,Government,4634.88,5854.33,79.2
108,Robust next generation analyzer,Time & Materials,Complete,Government,4484.76,5696.28,78.7
75,Networked full-range task-force,Time & Materials,Complete,Media & Entertainment,4380.48,5631.16,77.8
68,Devolved value-added hub,Fixed-Price,Complete,Energy,4359.66,5633.57,77.4
109,Sharable mission-critical focus group,Time & Materials,Complete,Healthcare,4528.32,5941.38,76.2
120,User-centric coherent help-desk,Fixed-Price,Complete,Healthcare,4044.96,5415.83,74.7
92,Focused transitional approach,Time & Materials,Complete,Energy,4377.9,5876.92,74.5
79,Open-architected modular task-force,Fixed-Price,Complete,Retail,4284.36,5777.34,74.2
85,Reactive impactful complexity,Time & Materials,Complete,Government,3731.94,5173.17,72.1
84,Reverse-engineered zero tolerance alliance,Time & Materials,Complete,Energy,3951.42,5878.61,67.2
88,Polarised reciprocal workforce,Time & Materials,Complete,Media & Entertainment,3337.32,5352.52,62.4
42,Total optimizing alliance,Time & Materials,Complete,Retail,3291.36,5286.92,62.3
51,Virtual logistical hub,Time & Materials,Complete,Government,3242.1,5361.31,60.5
105,User-centric fresh-thinking microservice,Time & Materials,Complete,Media & Entertainment,3318.18,6118.31,54.2
93,Decentralized discrete core,Time & Materials,Complete,Energy,2738.22,5301.68,51.6
80,Public-key high-level function,Time & Materials,Complete,Media & Entertainment,2219.58,5481.82,40.5
101,Upgradable next generation task-force,Fixed-Price,Complete,Retail,2267.16,5817.75,39.0
126,Managed national website,Fixed-Price,In Progress,Retail,0.0,437.61,0.0
