ProjectID,ClientID,BusinessUnitID,ProjectName,ProjectType,Fixed_Price_Amount,PlannedStartDate,PlannedEndDate,PlannedExpense,EstimatedBudget,PlannedHours,ProjectStatus,created_at
72,1016,1001,Focused value-added focus group,Time & Materials,439890.43,,,,,,Complete,2026-01-09 17:53:29.919358
73,1009,1005,Distributed bottom-line concept,Fixed-Price,238275.29,,,,,,Complete,2026-01-11 14:08:55.975518
74,1019,1002,Future-proofed tertiary customer loyalty,Time & Materials,414572.49,,,,,,Complete,2026-01-24 21:01:02.828720
75,1004,1003,Networked full-range task-force,Time & Materials,157579.87,,,,,,Complete,2026-02-10 17:19:50.152831
76,1005,1005,Intuitive value-added hierarchy,Fixed-Price,294915.8,,,,,,Complete,2026-03-25 06:59:58.225011
77,1016,1001,Networked client-driven protocol,Fixed-Price,138509.69,,,,,,Complete,2026-07-14 21:46:46.184294
78,1019,1003,Open-source mobile microservice,Fixed-Price,324415.74,,,,,,Complete,2026-07-23 00:59:37.414576
79,1015,1001,Open-architected modular task-force,Fixed-Price,478428.1,,,,,,Complete,2026-07-31 07:21:00.605272
80,1003,1003,Public-key high-level function,Time & Materials,163477.79,,,,,,Complete,2026-09-09 11:31:38.842461
81,1009,1002,Total stable process improvement,Time & Materials,138419.14,,,,,,Complete,2026-09-27 05:41:50.817400
82,1001,1002,Polarised zero tolerance implementation,Time & Materials,138900.16,,,,,,Complete,2026-10-04 09:00:37.640239
83,1018,1001,Secured AI-powered neural-net,Fixed-Price,410828.08,,,,,,Complete,2026-11-22 10:40:43.648167
84,1002,1004,Reverse-engineered zero tolerance alliance,Time & Materials,180894.58,,,,,,Complete,2026-12-09 13:09:02.171083
85,1002,1005,Reactive impactful complexity,Time & Materials,279031.57,,,,,,Complete,2026-12-28 13:27:27.396887
86,1004,1002,Customer-focused bifurcated standardization,Fixed-Price,91602.28,,,,,,Complete,2027-01-15 15:36:27.743916
87,1015,1005,User-friendly bifurcated array,Time & Materials,399977.56,,,,,,Complete,2027-02-03 00:28:03.177758
88,1005,1003,Polarised reciprocal workforce,Time & Materials,460318.36,,,,,,Complete,2027-04-02 15:29:42.612401
89,1016,1005,Seamless cohesive open architecture,Time & Materials,419566.74,,,,,,Complete,2027-04-19 23:50:51.473563
90,1013,1002,Realigned leading edge firmware,Fixed-Price,61973.76,,,,,,Complete,2027-04-28 09:51:56.784700
91,1017,1002,Profit-focused secondary leverage,Fixed-Price,91857.83,,,,,,Complete,2027-06-07 06:39:54.888881
92,1009,1004,Focused transitional approach,Time & Materials,332930.31,,,,,,Complete,2027-06-11 22:30:11.985025
93,1011,1004,Decentralized discrete core,Time & Materials,459588.26,,,,,,Complete,2027-06-21 05:15:36.256978
94,1016,1004,Profit-focused incremental project,Time & Materials,498301.02,,,,,,Complete,2027-07-05 16:44:37.620628
95,1003,1002,Configurable local productivity,Fixed-Price,94615.75,,,,,,Complete,2027-07-25 00:02:29.161534
96,1007,1001,Innovative coherent paradigm,Fixed-Price,442577.55,,,,,,Complete,2027-08-23 06:19:15.376570
97,1010,1001,Optimized incremental orchestration,Fixed-Price,369183.26,,,,,,Complete,2027-09-20 18:03:18.903742
98,1018,1005,Seamless immersive benchmark,Time & Materials,106986.71,,,,,,Complete,2027-09-21 09:26:47.272019
99,1007,1005,Open-source methodical productivity,Time & Materials,336831.12,,,,,,Complete,2027-09-27 07:01:57.413142
100,1007,1001,Open-source asynchronous monitoring,Fixed-Price,230148.44,,,,,,Complete,2027-11-14 20:25:52.825225
101,1002,1001,Upgradable next generation task-force,Fixed-Price,161358.34,,,,,,Complete,2027-12-08 19:09:35.936614
102,1007,1001,Virtual intangible matrices,Fixed-Price,223498.63,,,,,,Complete,2028-01-08 21:18:04.030394
103,1001,1003,Phased context-sensitive knowledge base,Time & Materials,466786.84,,,,,,Complete,2028-03-22 23:42:36.527357
104,1002,1005,Stand-alone zero trust hardware,Fixed-Price,200347.09,,,,,,Complete,2028-03-23 06:17:26.947270
105,1007,1003,User-centric fresh-thinking microservice,Time & Materials,471456.6,,,,,,Complete,2028-04-14 09:30:00.679398
106,1015,1002,Implemented coherent middleware,Time & Materials,300141.87,,,,,,Complete,2028-04-25 10:56:54.830986
107,1017,1002,Fundamental systematic parallelism,Time & Materials,94346.08,,,,,,Complete,2028-05-31 12:40:36.346564
108,1018,1005,Robust next generation analyzer,Time & Materials,186938.42,,,,,,Complete,2028-06-08 10:48:20.255234
109,1015,1002,Sharable mission-critical focus group,Time & Materials,336247.54,,,,,,Complete,2028-06-11 03:54:42.860109
110,1015,1004,Realigned neutral service-desk,Time & Materials,75694.59,,,,,,Complete,2028-06-16 13:30:46.296868
111,1006,1001,Stand-alone responsive portal,Time & Materials,458784.55,,,,,,Complete,2028-06-20 01:51:24.327101
112,1003,1004,Devolved encompassing capability,Fixed-Price,424060.61,,,,,,Complete,2028-08-04 16:15:54.362477
113,1011,1004,Innovative holistic conglomeration,Fixed-Price,191495.35,,,,,,Complete,2028-09-17 08:23:08.742599
114,1013,1004,Expanded 24 hour algorithm,Fixed-Price,470294.34,,,,,,Complete,2028-10-13 10:38:54.680522
115,1001,1001,Adaptive coherent customer loyalty,Time & Materials,434028.08,,,,,,Complete,2028-10-19 12:40:59.398065
116,1001,1004,Cross-platform mobile framework,Time & Materials,266060.72,,,,,,Complete,2029-01-01 05:59:34.036030
117,1010,1001,Public-key actuating implementation,Fixed-Price,123124.29,,,,,,Complete,2029-01-15 06:19:59.685551
118,1007,1002,Automated directional hardware,Time & Materials,239403.44,,,,,,Complete,2029-03-23 21:17:52.105838
119,1006,1005,Diverse motivating parallelism,Time & Materials,284838.03,,,,,,Complete,2029-06-29 12:52:04.514139
120,1014,1002,User-centric coherent help-desk,Fixed-Price,190931.92,,,,,,Complete,2029-07-01 20:21:33.423429
121,1013,1002,Team-oriented zero defect access,Fixed-Price,455529.93,,,,,,Complete,2029-07-07 18:13:37.488750
122,1008,1004,Public-key impactful customer loyalty,Time & Materials,471197.38,,,,,,Complete,2029-08-18 10:17:18.110457
123,1007,1001,Visionary resilient parallelism,Time & Materials,451319.1,,,,,,Complete,2029-09-21 10:28:08.474477
124,1014,1005,User-centric empowering initiative,Time & Materials,457674.79,,,,,,Complete,2029-09-27 23:56:11.990086
125,1003,1001,Front-line discrete workforce,Time & Materials,97097.29,,,,,,In Progress,2029-10-23 02:16:01.058851
126,1017,1001,Managed national website,Fixed-Price,144283.65,,,,,,In Progress,2029-12-13 23:35:31.978020
